sealed_block_id,n_curated_rows,n_unique_molecules,n_analogue_components,n_sources
BLOCK-513383ed86a73488,4010,3978,162,20
BLOCK-4494eb5738fce47c,1518,1518,3,1
BLOCK-5c361cba45039733,842,842,112,1
BLOCK-c5e520eb3b94ff25,249,249,1,2
BLOCK-bb4bcb852b735057,105,105,5,3
BLOCK-5f91132e1b252609,36,36,1,1
BLOCK-8dbd1f0100199b32,18,18,1,1
BLOCK-d0fe24e9c28856d1,18,18,3,1
BLOCK-ad504a636f9fcddf,17,17,2,1
BLOCK-2c0090ee1dd5b17e,16,16,2,1
BLOCK-394ff80f01cbc968,16,16,1,1
BLOCK-4acd8e0f532c9eb9,11,11,1,1
BLOCK-bb889e938c0a001a,10,10,2,1
BLOCK-c1585d53eda9a867,8,7,2,2
BLOCK-e729b0aa52978c75,7,7,2,1
BLOCK-fc0b343dfac9ab9d,7,7,1,1
BLOCK-5ddb30f65478f699,4,4,3,1
BLOCK-5930edb067c8c52f,3,3,1,1
