tanimoto_threshold,block_rank,sealed_block_id,n_records,n_unique_molecules,n_analogue_components,n_sources,record_share,cumulative_record_share
0.700000000000,1,BLOCK-62686da82af81a7f,4054,4022,61,23,0.587962291516,0.587962291516
0.700000000000,2,BLOCK-04c2755eeabd3bc3,1518,1518,1,1,0.220159535896,0.808121827411
0.700000000000,3,BLOCK-cb225f8333a57e5a,842,842,14,1,0.122117476432,0.930239303843
0.700000000000,4,BLOCK-c5e520eb3b94ff25,249,249,1,2,0.036113125453,0.966352429297
0.700000000000,5,BLOCK-6fc6266e909de69f,105,105,3,3,0.015228426396,0.981580855693
0.700000000000,6,BLOCK-5f91132e1b252609,36,36,1,1,0.005221174764,0.986802030457
0.700000000000,7,BLOCK-4f8d7bb4c7df1020,18,18,1,1,0.002610587382,0.989412617839
0.700000000000,8,BLOCK-8dbd1f0100199b32,18,18,1,1,0.002610587382,0.992023205221
0.700000000000,9,BLOCK-394ff80f01cbc968,16,16,1,1,0.002320522117,0.994343727339
0.700000000000,10,BLOCK-ab4313e021dee05c,10,10,1,1,0.001450326323,0.995794053662
0.700000000000,11,BLOCK-c1585d53eda9a867,8,7,2,2,0.001160261059,0.996954314721
0.700000000000,12,BLOCK-fc0b343dfac9ab9d,7,7,1,1,0.001015228426,0.997969543147
0.700000000000,13,BLOCK-b9c8f5422542b93a,7,7,1,1,0.001015228426,0.998984771574
0.700000000000,14,BLOCK-b1f0d8fc4e6fed27,4,4,1,1,0.000580130529,0.999564902103
0.700000000000,15,BLOCK-5930edb067c8c52f,3,3,1,1,0.000435097897,1.000000000000
0.800000000000,1,BLOCK-513383ed86a73488,4010,3978,162,20,0.581580855693,0.581580855693
0.800000000000,2,BLOCK-4494eb5738fce47c,1518,1518,3,1,0.220159535896,0.801740391588
0.800000000000,3,BLOCK-5c361cba45039733,842,842,112,1,0.122117476432,0.923857868020
0.800000000000,4,BLOCK-c5e520eb3b94ff25,249,249,1,2,0.036113125453,0.959970993474
0.800000000000,5,BLOCK-bb4bcb852b735057,105,105,5,3,0.015228426396,0.975199419869
0.800000000000,6,BLOCK-5f91132e1b252609,36,36,1,1,0.005221174764,0.980420594634
0.800000000000,7,BLOCK-8dbd1f0100199b32,18,18,1,1,0.002610587382,0.983031182016
0.800000000000,8,BLOCK-d0fe24e9c28856d1,18,18,3,1,0.002610587382,0.985641769398
0.800000000000,9,BLOCK-ad504a636f9fcddf,17,17,2,1,0.002465554750,0.988107324148
0.800000000000,10,BLOCK-2c0090ee1dd5b17e,16,16,2,1,0.002320522117,0.990427846265
0.800000000000,11,BLOCK-394ff80f01cbc968,16,16,1,1,0.002320522117,0.992748368383
0.800000000000,12,BLOCK-4acd8e0f532c9eb9,11,11,1,1,0.001595358956,0.994343727339
0.800000000000,13,BLOCK-bb889e938c0a001a,10,10,2,1,0.001450326323,0.995794053662
0.800000000000,14,BLOCK-c1585d53eda9a867,8,7,2,2,0.001160261059,0.996954314721
0.800000000000,15,BLOCK-e729b0aa52978c75,7,7,2,1,0.001015228426,0.997969543147
0.800000000000,16,BLOCK-fc0b343dfac9ab9d,7,7,1,1,0.001015228426,0.998984771574
0.800000000000,17,BLOCK-5ddb30f65478f699,4,4,3,1,0.000580130529,0.999564902103
0.800000000000,18,BLOCK-5930edb067c8c52f,3,3,1,1,0.000435097897,1.000000000000
0.900000000000,1,BLOCK-c897e08c5df90480,3988,3957,174,18,0.578390137781,0.578390137781
0.900000000000,2,BLOCK-65cf57953edc6b2d,1518,1518,4,1,0.220159535896,0.798549673677
0.900000000000,3,BLOCK-992f1e5f5b02a002,842,842,509,1,0.122117476432,0.920667150109
0.900000000000,4,BLOCK-c5e520eb3b94ff25,249,249,1,2,0.036113125453,0.956780275562
0.900000000000,5,BLOCK-c273e31f1c1041f5,63,63,5,2,0.009137055838,0.965917331400
0.900000000000,6,BLOCK-8ea4280aef6a276a,42,42,3,1,0.006091370558,0.972008701958
0.900000000000,7,BLOCK-e9e8512a45515b9c,36,36,2,1,0.005221174764,0.977229876722
0.900000000000,8,BLOCK-cae980558e66998d,22,21,8,2,0.003190717912,0.980420594634
0.900000000000,9,BLOCK-6ae023a70db2781d,18,18,3,1,0.002610587382,0.983031182016
0.900000000000,10,BLOCK-1c8b99cfa2890c66,18,18,6,1,0.002610587382,0.985641769398
0.900000000000,11,BLOCK-ad504a636f9fcddf,17,17,2,1,0.002465554750,0.988107324148
0.900000000000,12,BLOCK-781879aeeabeecc3,16,16,7,1,0.002320522117,0.990427846265
0.900000000000,13,BLOCK-aef9e074ec6091a8,16,16,8,1,0.002320522117,0.992748368383
0.900000000000,14,BLOCK-4acd8e0f532c9eb9,11,11,1,1,0.001595358956,0.994343727339
0.900000000000,15,BLOCK-bb889e938c0a001a,10,10,2,1,0.001450326323,0.995794053662
0.900000000000,16,BLOCK-c1585d53eda9a867,8,7,2,2,0.001160261059,0.996954314721
0.900000000000,17,BLOCK-e729b0aa52978c75,7,7,2,1,0.001015228426,0.997969543147
0.900000000000,18,BLOCK-fc0b343dfac9ab9d,7,7,1,1,0.001015228426,0.998984771574
0.900000000000,19,BLOCK-31a4e7a80b849487,4,4,4,1,0.000580130529,0.999564902103
0.900000000000,20,BLOCK-5930edb067c8c52f,3,3,1,1,0.000435097897,1.000000000000
