Source,raw_rows,censored_rows,numeric_endpoint_rows,uncensored_rows,censored_fraction,curated_records,curated_endpoint_median,curated_endpoint_q1,curated_endpoint_q3,curated_endpoint_min,curated_endpoint_max
2006_Rezai_1,10,2,10,8,0.2,8.0,-7.15,-7.3,-6.9,-7.3,-6.2
2006_Rezai_2,11,0,11,11,0.0,11.0,-6.95,-7.140000000000001,-6.6,-7.29,-6.41
2013_CHUGAI,878,36,878,842,0.04100227790432802,842.0,-4.66,-5.0375,-4.49,-6.96,-4.15
2015_Ahlbach,34,3,34,31,0.08823529411764706,31.0,-5.48,-6.34,-5.205,-9.4,-4.08
2015_Bockus_1,15,0,15,15,0.0,15.0,-5.22,-5.52,-5.05,-6.0,-4.7
2015_Bockus_2,17,0,17,17,0.0,17.0,-5.32,-5.68,-5.25,-6.7,-4.76
2015_Lewis,2,1,2,1,0.5,1.0,-4.5,-4.5,-4.5,-4.5,-4.5
2015_Marelli,10,2,10,8,0.2,8.0,-7.6499999999999995,-8.225,-6.35,-8.3,-4.3
2015_Nielsen,3,1,3,2,0.3333333333333333,2.0,-5.585,-5.7925,-5.3774999999999995,-6.0,-5.17
2015_Wang,62,12,62,50,0.1935483870967742,50.0,-6.5,-7.15,-5.92,-10.0,-5.42
2016_Frost,12,0,12,12,0.0,12.0,-5.64,-6.949999999999999,-5.27,-8.06,-4.89
2016_Furukawa,688,8,688,680,0.011627906976744186,662.0,-5.775,-6.64,-5.282500000000001,-9.46,-4.76
2016_Hickey,18,0,18,18,0.0,18.0,-6.1,-7.65,-5.6,-9.1,-5.3
2017_Pye,21,5,21,16,0.23809523809523808,16.0,-5.4,-6.025,-5.0649999999999995,-7.64,-4.62
2018_Buckton,2,0,2,2,0.0,2.0,-5.375,-5.4325,-5.3175,-5.49,-5.26
2018_García-Pindado,4,0,4,4,0.0,4.0,-5.455,-5.65,-5.3375,-5.89,-5.33
2018_Kaneda,7,0,7,7,0.0,7.0,-5.39,-5.55,-4.890000000000001,-6.09,-4.47
2018_Lee,6,0,6,6,0.0,6.0,-5.285,-5.3125,-5.2725,-5.52,-5.22
2018_Naylor,72,0,72,72,0.0,72.0,-5.550000000000001,-5.952500000000001,-4.8950000000000005,-6.96,-4.49
2018_Ramalho,10,10,10,0,1.0,,,,,,
2019_Ono,8,0,8,8,0.0,8.0,-5.5649999999999995,-5.672499999999999,-5.2675,-5.78,-5.11
2020_Barlow,26,8,26,18,0.3076923076923077,18.0,-5.390000000000001,-5.66,-5.3,-6.7,-5.09
2020_Furukawa,36,0,36,36,0.0,36.0,-6.02,-6.635,-5.675000000000001,-7.76,-5.27
2020_Hosono,11,0,11,11,0.0,11.0,-6.0,-6.26,-5.54,-6.52,-5.39
2020_Le Roux,47,4,47,43,0.0851063829787234,43.0,-4.6,-4.8,-4.5,-6.7,-4.2
2020_Townsend,3086,220,3086,2866,0.0712896953985742,2866.0,-5.67,-6.0,-5.31,-7.85,-4.4
2021_Comeau,42,0,42,42,0.0,42.0,-6.779999999999999,-7.18,-6.3425,-8.34,-5.39
2021_Golosov,23,7,23,16,0.30434782608695654,16.0,-4.85,-5.575,-4.475,-6.2,-4.0
2021_Kelly,1519,0,1519,1519,0.0,1518.0,-5.79,-6.35,-5.39,-9.0,-4.64
2021_Lee,5,2,5,3,0.4,3.0,-6.54,-6.88,-6.125,-7.22,-5.71
2021_Wang,24,6,24,18,0.25,18.0,-4.9,-5.875,-4.45,-6.7,-3.9
2022_Bhardwaj,133,0,133,133,0.0,133.0,-5.82,-6.24,-5.49,-7.48,-4.86
2022_Lee,24,3,24,21,0.125,21.0,-8.0,-8.1,-7.89,-8.72,-5.72
2022_Saunders,11,1,11,10,0.09090909090909091,10.0,-6.27,-7.31,-5.904999999999999,-7.75,-5.72
2022_Taechalertpaisarn,52,0,52,52,0.0,50.0,-6.050000000000001,-6.557499999999999,-5.4975000000000005,-8.39,-4.85
2022_Tamura,12,2,12,10,0.16666666666666666,10.0,-6.395,-6.585,-5.645,-6.96,-5.41
2023_Ghosh,36,7,36,29,0.19444444444444445,29.0,-5.38,-5.82,-5.19,-6.4,-4.97
2024_Bergeron,3,0,3,3,0.0,3.0,-5.3,-5.65,-5.225,-6.0,-5.15
2024_Faris,234,27,234,207,0.11538461538461539,207.0,-6.569578491,-7.1169094665,-5.8548821874999994,-8.522763705,-4.994304357
2024_Koch,54,2,54,52,0.037037037037037035,42.0,-6.5644206165,-7.178892856,-6.025074319000001,-9.023709081,-5.748055646
2024_Ly,20,0,20,20,0.0,20.0,-5.395,-6.0225,-5.085,-7.72,-4.62
2024_Otani,10,3,10,7,0.3,7.0,-5.910094889,-6.683771354,-5.7434245075,-7.619788758,-5.168770306
