nominal_coverage,outer_fold,sealed_block_id,n_prediction_slots,coverage,mean_interval_width_log10_papp
0.5,1,BLOCK-2c0090ee1dd5b17e,80,0.0625,0.7689727115631104
0.5,2,BLOCK-394ff80f01cbc968,80,0.2625,0.8403155159950249
0.5,3,BLOCK-4494eb5738fce47c,7590,0.07325428194993412,0.8460735893249524
0.5,4,BLOCK-4acd8e0f532c9eb9,55,0.0,0.8541061449050904
0.5,5,BLOCK-513383ed86a73488,20050,0.6871321695760598,1.1470913004875187
0.5,6,BLOCK-5930edb067c8c52f,15,0.13333333333333333,0.8153517895936966
0.5,7,BLOCK-5c361cba45039733,4210,0.035391923990498814,0.847141096591949
0.5,8,BLOCK-5ddb30f65478f699,20,0.8,0.8461303448677062
0.5,9,BLOCK-5f91132e1b252609,180,0.2777777777777778,0.8773116350173952
0.5,10,BLOCK-8dbd1f0100199b32,90,0.5333333333333333,0.857892870903015
0.5,11,BLOCK-ad504a636f9fcddf,85,0.29411764705882354,0.8661340451240543
0.5,12,BLOCK-bb4bcb852b735057,525,0.1961904761904762,0.9582638641677242
0.5,13,BLOCK-bb889e938c0a001a,50,0.22,0.8297892856597909
0.5,14,BLOCK-c1585d53eda9a867,40,0.0,0.9094834023714068
0.5,15,BLOCK-c5e520eb3b94ff25,1245,0.3204819277108434,0.8394387888908382
0.5,16,BLOCK-d0fe24e9c28856d1,90,0.2222222222222222,0.8514677369594559
0.5,17,BLOCK-e729b0aa52978c75,35,0.42857142857142855,0.7952196025848381
0.5,18,BLOCK-fc0b343dfac9ab9d,35,0.5714285714285714,0.8603191220760348
0.8,1,BLOCK-2c0090ee1dd5b17e,80,0.4,1.9829495716094967
0.8,2,BLOCK-394ff80f01cbc968,80,0.5125,1.7661948347091676
0.8,3,BLOCK-4494eb5738fce47c,7590,0.5177865612648221,2.3855605516638185
0.8,4,BLOCK-4acd8e0f532c9eb9,55,0.36363636363636365,1.9425877600908272
0.8,5,BLOCK-513383ed86a73488,20050,0.8614463840399003,1.9440795636177053
0.8,6,BLOCK-5930edb067c8c52f,15,0.4666666666666667,1.8698101949691777
0.8,7,BLOCK-5c361cba45039733,4210,0.07553444180522566,1.543282690048217
0.8,8,BLOCK-5ddb30f65478f699,20,1.0,1.8197481632232662
0.8,9,BLOCK-5f91132e1b252609,180,0.6777777777777778,1.933809980750084
0.8,10,BLOCK-8dbd1f0100199b32,90,0.7666666666666667,1.7610613632202148
0.8,11,BLOCK-ad504a636f9fcddf,85,0.7647058823529411,1.8301735067367557
0.8,12,BLOCK-bb4bcb852b735057,525,0.4819047619047619,1.965906460285186
0.8,13,BLOCK-bb889e938c0a001a,50,0.88,2.056072590100708
0.8,14,BLOCK-c1585d53eda9a867,40,0.0,1.8694606494903567
0.8,15,BLOCK-c5e520eb3b94ff25,1245,0.6883534136546184,1.822094926834106
0.8,16,BLOCK-d0fe24e9c28856d1,90,0.4,1.842474014759064
0.8,17,BLOCK-e729b0aa52978c75,35,0.8571428571428571,2.0422395896911616
0.8,18,BLOCK-fc0b343dfac9ab9d,35,1.0,1.867830698490144
0.9,1,BLOCK-2c0090ee1dd5b17e,80,0.65,2.7355539059638967
0.9,2,BLOCK-394ff80f01cbc968,80,0.7375,2.5486891841888437
0.9,3,BLOCK-4494eb5738fce47c,7590,0.7447957839262187,3.3249546110630033
0.9,4,BLOCK-4acd8e0f532c9eb9,55,0.7454545454545455,2.749973140954971
0.9,5,BLOCK-513383ed86a73488,20050,0.9120199501246883,2.471152320591401
0.9,6,BLOCK-5930edb067c8c52f,15,0.7333333333333333,2.621168328523636
0.9,7,BLOCK-5c361cba45039733,4210,0.10878859857482186,1.9673394107818607
0.9,8,BLOCK-5ddb30f65478f699,20,1.0,2.492719333171845
0.9,9,BLOCK-5f91132e1b252609,180,0.8722222222222222,2.6649151420593262
0.9,10,BLOCK-8dbd1f0100199b32,90,0.8888888888888888,2.5928546047210688
0.9,11,BLOCK-ad504a636f9fcddf,85,0.9529411764705882,2.5805847203731527
0.9,12,BLOCK-bb4bcb852b735057,525,0.8,2.755199983119965
0.9,13,BLOCK-bb889e938c0a001a,50,1.0,3.128041431903838
0.9,14,BLOCK-c1585d53eda9a867,40,0.0,2.664400870800017
0.9,15,BLOCK-c5e520eb3b94ff25,1245,0.8586345381526105,2.6619605135917666
0.9,16,BLOCK-d0fe24e9c28856d1,90,0.5222222222222223,2.6482043504714965
0.9,17,BLOCK-e729b0aa52978c75,35,0.9714285714285714,2.787605781555176
0.9,18,BLOCK-fc0b343dfac9ab9d,35,1.0,2.543690223693847
