nominal_coverage,source,n_prediction_slots,coverage,mean_interval_width_log10_papp
0.5,2006_Rezai_1,40,0.725,1.1470913004875187
0.5,2006_Rezai_2,55,0.0,0.8541061449050904
0.5,2013_CHUGAI,4210,0.035391923990498814,0.847141096591949
0.5,2015_Ahlbach,155,0.44516129032258067,1.1470913004875187
0.5,2015_Bockus_1,75,0.8533333333333334,1.1470913004875187
0.5,2015_Bockus_2,85,0.29411764705882354,0.8661340451240543
0.5,2015_Lewis,5,0.0,1.1470913004875187
0.5,2015_Marelli,40,0.475,1.1470913004875187
0.5,2015_Nielsen,10,0.5,1.1470913004875187
0.5,2015_Wang,250,0.436,1.1470913004875187
0.5,2016_Frost,60,0.6833333333333333,1.1470913004875187
0.5,2016_Furukawa,3310,0.4818731117824773,1.1470913004875187
0.5,2016_Hickey,90,0.37777777777777777,1.1470913004875187
0.5,2017_Pye,80,0.0625,0.7689727115631104
0.5,2018_Buckton,10,0.0,0.9094834023714068
0.5,2018_García-Pindado,20,0.8,0.8461303448677062
0.5,2018_Kaneda,35,0.5714285714285714,0.8603191220760348
0.5,2018_Lee,30,0.0,0.9094834023714068
0.5,2018_Naylor,360,0.33611111111111114,1.1470913004875187
0.5,2019_Ono,40,0.0,1.1470913004875187
0.5,2020_Barlow,90,0.5333333333333333,0.857892870903015
0.5,2020_Furukawa,180,0.2777777777777778,0.8773116350173952
0.5,2020_Hosono,55,0.4909090909090909,1.1470913004875187
0.5,2020_Le Roux,215,0.04186046511627907,0.9582638641677242
0.5,2020_Townsend,14330,0.7795533845080251,1.1470913004875187
0.5,2021_Comeau,210,0.3380952380952381,0.9582638641677242
0.5,2021_Golosov,80,0.2625,0.8403155159950249
0.5,2021_Kelly,7590,0.07325428194993412,0.8460735893249524
0.5,2021_Lee,15,0.0,1.1470913004875187
0.5,2021_Wang,90,0.2222222222222222,0.8514677369594559
0.5,2022_Bhardwaj,665,0.5458646616541354,1.1470913004875187
0.5,2022_Lee,105,0.0,1.1470913004875187
0.5,2022_Saunders,50,0.18,1.1470913004875187
0.5,2022_Taechalertpaisarn,250,0.384,1.1470913004875187
0.5,2022_Tamura,50,0.22,0.8297892856597909
0.5,2023_Ghosh,145,0.1724137931034483,1.1470913004875187
0.5,2024_Bergeron,15,0.13333333333333333,0.8153517895936966
0.5,2024_Faris,1035,0.3111111111111111,0.8394387888908382
0.5,2024_Koch,210,0.36666666666666664,0.8394387888908382
0.5,2024_Ly,100,0.23,0.9582638641677242
0.5,2024_Otani,35,0.42857142857142855,0.7952196025848381
0.8,2006_Rezai_1,40,0.875,1.9440795636177053
0.8,2006_Rezai_2,55,0.36363636363636365,1.9425877600908272
0.8,2013_CHUGAI,4210,0.07553444180522566,1.543282690048217
0.8,2015_Ahlbach,155,0.632258064516129,1.9440795636177053
0.8,2015_Bockus_1,75,1.0,1.944079563617705
0.8,2015_Bockus_2,85,0.7647058823529411,1.8301735067367557
0.8,2015_Lewis,5,1.0,1.9440795636177053
0.8,2015_Marelli,40,0.85,1.9440795636177053
0.8,2015_Nielsen,10,1.0,1.9440795636177053
0.8,2015_Wang,250,0.596,1.9440795636177053
0.8,2016_Frost,60,0.8833333333333333,1.9440795636177053
0.8,2016_Furukawa,3310,0.6574018126888218,1.9440795636177053
0.8,2016_Hickey,90,0.5555555555555556,1.9440795636177055
0.8,2017_Pye,80,0.4,1.9829495716094967
0.8,2018_Buckton,10,0.0,1.8694606494903567
0.8,2018_García-Pindado,20,1.0,1.8197481632232662
0.8,2018_Kaneda,35,1.0,1.867830698490144
0.8,2018_Lee,30,0.0,1.8694606494903567
0.8,2018_Naylor,360,0.6638888888888889,1.9440795636177055
0.8,2019_Ono,40,0.025,1.9440795636177053
0.8,2020_Barlow,90,0.7666666666666667,1.7610613632202148
0.8,2020_Furukawa,180,0.6777777777777778,1.933809980750084
0.8,2020_Hosono,55,0.6,1.9440795636177053
0.8,2020_Le Roux,215,0.19534883720930232,1.9659064602851861
0.8,2020_Townsend,14330,0.945778087927425,1.9440795636177053
0.8,2021_Comeau,210,0.6952380952380952,1.965906460285186
0.8,2021_Golosov,80,0.5125,1.7661948347091676
0.8,2021_Kelly,7590,0.5177865612648221,2.3855605516638185
0.8,2021_Lee,15,0.06666666666666667,1.9440795636177053
0.8,2021_Wang,90,0.4,1.842474014759064
0.8,2022_Bhardwaj,665,0.8,1.9440795636177055
0.8,2022_Lee,105,0.009523809523809525,1.9440795636177053
0.8,2022_Saunders,50,0.34,1.944079563617705
0.8,2022_Taechalertpaisarn,250,0.676,1.9440795636177053
0.8,2022_Tamura,50,0.88,2.056072590100708
0.8,2023_Ghosh,145,0.2827586206896552,1.9440795636177055
0.8,2024_Bergeron,15,0.4666666666666667,1.8698101949691777
0.8,2024_Faris,1035,0.6985507246376812,1.822094926834106
0.8,2024_Koch,210,0.638095238095238,1.822094926834106
0.8,2024_Ly,100,0.65,1.965906460285186
0.8,2024_Otani,35,0.8571428571428571,2.0422395896911616
0.9,2006_Rezai_1,40,0.875,2.471152320591401
0.9,2006_Rezai_2,55,0.7454545454545455,2.749973140954971
0.9,2013_CHUGAI,4210,0.10878859857482186,1.9673394107818607
0.9,2015_Ahlbach,155,0.832258064516129,2.471152320591401
0.9,2015_Bockus_1,75,1.0,2.471152320591401
0.9,2015_Bockus_2,85,0.9529411764705882,2.5805847203731527
0.9,2015_Lewis,5,1.0,2.471152320591401
0.9,2015_Marelli,40,0.95,2.471152320591401
0.9,2015_Nielsen,10,1.0,2.471152320591401
0.9,2015_Wang,250,0.708,2.471152320591401
0.9,2016_Frost,60,0.9,2.471152320591401
0.9,2016_Furukawa,3310,0.748036253776435,2.471152320591401
0.9,2016_Hickey,90,0.6555555555555556,2.471152320591401
0.9,2017_Pye,80,0.65,2.7355539059638967
0.9,2018_Buckton,10,0.0,2.664400870800017
0.9,2018_García-Pindado,20,1.0,2.492719333171845
0.9,2018_Kaneda,35,1.0,2.543690223693847
0.9,2018_Lee,30,0.0,2.664400870800017
0.9,2018_Naylor,360,0.7694444444444445,2.471152320591401
0.9,2019_Ono,40,0.35,2.471152320591401
0.9,2020_Barlow,90,0.8888888888888888,2.5928546047210688
0.9,2020_Furukawa,180,0.8722222222222222,2.6649151420593262
0.9,2020_Hosono,55,0.7090909090909091,2.471152320591401
0.9,2020_Le Roux,215,0.6744186046511628,2.755199983119965
0.9,2020_Townsend,14330,0.9787159804605722,2.471152320591401
0.9,2021_Comeau,210,0.8857142857142857,2.755199983119965
0.9,2021_Golosov,80,0.7375,2.5486891841888437
0.9,2021_Kelly,7590,0.7447957839262187,3.3249546110630033
0.9,2021_Lee,15,0.13333333333333333,2.471152320591401
0.9,2021_Wang,90,0.5222222222222223,2.6482043504714965
0.9,2022_Bhardwaj,665,0.881203007518797,2.471152320591401
0.9,2022_Lee,105,0.01904761904761905,2.471152320591401
0.9,2022_Saunders,50,0.52,2.471152320591401
0.9,2022_Taechalertpaisarn,250,0.784,2.471152320591401
0.9,2022_Tamura,50,1.0,3.128041431903838
0.9,2023_Ghosh,145,0.4206896551724138,2.471152320591401
0.9,2024_Bergeron,15,0.7333333333333333,2.621168328523636
0.9,2024_Faris,1035,0.8685990338164251,2.6619605135917666
0.9,2024_Koch,210,0.8095238095238095,2.6619605135917666
0.9,2024_Ly,100,0.89,2.755199983119965
0.9,2024_Otani,35,0.9714285714285714,2.787605781555176
