omitted_block_id,outer_fold,omitted_n_rows,omitted_n_sources,omitted_n_analogue_components,joint_source_macro_mae,random_source_macro_mae,gap_joint_minus_random,gap_change_from_full,gap_at_least_0_10
BLOCK-c1585d53eda9a867,14,8,2,2,0.925152476015,0.452721426641,0.472431049373,-0.064909661621,True
BLOCK-5ddb30f65478f699,8,4,1,3,0.983748737048,0.470923825664,0.512824911384,-0.024515799610,True
BLOCK-513383ed86a73488,5,4010,20,162,0.982100073110,0.458992465987,0.523107607123,-0.014233103870,True
BLOCK-5c361cba45039733,7,842,1,112,1.006403900803,0.471940418527,0.534463482276,-0.002877228718,True
BLOCK-ad504a636f9fcddf,11,17,1,2,1.005303143837,0.469223467423,0.536079676414,-0.001261034580,True
BLOCK-c5e520eb3b94ff25,15,249,2,1,0.999997666293,0.463347364858,0.536650301435,-0.000690409559,True
BLOCK-bb889e938c0a001a,13,10,1,2,1.010295336151,0.473043530894,0.537251805257,-0.000088905737,True
BLOCK-4acd8e0f532c9eb9,4,11,1,1,1.011204744658,0.470853925220,0.540350819438,0.003010108444,True
BLOCK-2c0090ee1dd5b17e,1,16,1,2,1.015284684262,0.472006215559,0.543278468703,0.005937757710,True
BLOCK-5f91132e1b252609,9,36,1,1,1.013631690263,0.469486077376,0.544145612887,0.006804901893,True
BLOCK-4494eb5738fce47c,3,1518,1,3,1.017512955870,0.471656062755,0.545856893115,0.008516182121,True
BLOCK-fc0b343dfac9ab9d,18,7,1,1,1.015521644976,0.469043590247,0.546478054729,0.009137343735,True
BLOCK-5930edb067c8c52f,6,3,1,1,1.007453099064,0.460773380357,0.546679718708,0.009339007714,True
BLOCK-8dbd1f0100199b32,10,18,1,1,1.014885107395,0.467551339027,0.547333768368,0.009993057375,True
BLOCK-d0fe24e9c28856d1,16,18,1,3,1.011504666951,0.463326667392,0.548177999559,0.010837288565,True
BLOCK-394ff80f01cbc968,2,16,1,1,1.016736234953,0.468353158181,0.548383076772,0.011042365778,True
BLOCK-bb4bcb852b735057,12,105,3,5,1.015990950292,0.467480818452,0.548510131840,0.011169420846,True
BLOCK-e729b0aa52978c75,17,7,1,2,1.017139380616,0.464852215184,0.552287165432,0.014946454438,True
