sealed_block_id,n_rows,n_sources,n_analogue_components,outer_fold,joint_source_macro_mae,random_source_macro_mae,gap_joint_minus_random
BLOCK-513383ed86a73488,4010,20,162,5,1.028140882853,0.475855412795,0.552285470058
BLOCK-4494eb5738fce47c,1518,1,3,3,0.486400957552,0.289707531404,0.196693426148
BLOCK-5c361cba45039733,842,1,112,7,0.930763160254,0.278333300536,0.652429859718
BLOCK-c5e520eb3b94ff25,249,2,1,15,1.093505103477,0.542701406085,0.550803697392
BLOCK-bb4bcb852b735057,105,3,5,12,0.859754360431,0.463892980154,0.395861380277
BLOCK-5f91132e1b252609,36,1,1,9,0.641651581860,0.376506946577,0.265144635283
BLOCK-8dbd1f0100199b32,18,1,1,10,0.591514896570,0.453896480562,0.137618416008
BLOCK-d0fe24e9c28856d1,18,1,3,16,0.726732514323,0.622883345936,0.103849168387
BLOCK-ad504a636f9fcddf,17,1,2,11,0.974793438886,0.387011344710,0.587782094176
BLOCK-2c0090ee1dd5b17e,16,1,2,1,0.575531821877,0.275701419266,0.299830402611
BLOCK-394ff80f01cbc968,16,1,1,2,0.517469794266,0.421823714394,0.095646079872
BLOCK-4acd8e0f532c9eb9,11,1,1,4,0.738729406056,0.321793032820,0.416936373237
BLOCK-bb889e938c0a001a,10,1,2,13,0.775105746326,0.234208805865,0.540896940461
BLOCK-c1585d53eda9a867,8,2,2,14,2.552986313899,0.749907201305,1.803079112594
BLOCK-e729b0aa52978c75,7,1,2,17,0.501343967732,0.561861434268,-0.060517466536
BLOCK-fc0b343dfac9ab9d,7,1,1,18,0.566053393330,0.394206431746,0.171846961583
BLOCK-5ddb30f65478f699,4,1,3,8,1.836969710439,0.318997015044,1.517972695395
BLOCK-5930edb067c8c52f,3,1,1,6,0.888795229793,0.725014827351,0.163780402442
