omitted_block_id,omitted_n_sources,remaining_n_sources,gap_joint_minus_random
BLOCK-2c0090ee1dd5b17e,1,40,0.543278468703
BLOCK-394ff80f01cbc968,1,40,0.548383076772
BLOCK-4494eb5738fce47c,1,40,0.545856893115
BLOCK-4acd8e0f532c9eb9,1,40,0.540350819438
BLOCK-513383ed86a73488,20,21,0.523107607123
BLOCK-5930edb067c8c52f,1,40,0.546679718708
BLOCK-5c361cba45039733,1,40,0.534463482276
BLOCK-5ddb30f65478f699,1,40,0.512824911384
BLOCK-5f91132e1b252609,1,40,0.544145612887
BLOCK-8dbd1f0100199b32,1,40,0.547333768368
BLOCK-ad504a636f9fcddf,1,40,0.536079676414
BLOCK-bb4bcb852b735057,3,38,0.548510131840
BLOCK-bb889e938c0a001a,1,40,0.537251805257
BLOCK-c1585d53eda9a867,2,39,0.472431049373
BLOCK-c5e520eb3b94ff25,2,39,0.536650301435
BLOCK-d0fe24e9c28856d1,1,40,0.548177999559
BLOCK-e729b0aa52978c75,1,40,0.552287165432
BLOCK-fc0b343dfac9ab9d,1,40,0.546478054729
