outer_fold,curated_id,inner_basket,source_molecule_fold
1,SSCP-0001914838e8cc4c,1,2
1,SSCP-0001a0000d1e0d48,1,2
1,SSCP-00661d874a768b31,1,2
1,SSCP-008a443d73170279,1,2
1,SSCP-009428fe60df9a44,1,2
1,SSCP-00ccebf472ae4d8e,1,2
1,SSCP-00d7cd22f8123d27,1,2
1,SSCP-010a71a703626e4e,1,2
1,SSCP-012dfca348758c8c,1,2
1,SSCP-012f0dff5e676197,1,2
1,SSCP-013acd97e635c46c,1,2
1,SSCP-015f5df84155b691,1,2
1,SSCP-0173b321125643d3,1,2
1,SSCP-01e5d7ad30da201e,1,2
1,SSCP-02760a211cf57ea1,1,2
1,SSCP-036aa002f8325dfe,1,2
1,SSCP-036e4c2ce649d9e0,1,2
1,SSCP-0382ce86f28f220c,1,2
1,SSCP-039176f90f110e7c,1,2
1,SSCP-03992c933aa0f990,1,2
1,SSCP-039e99ecc6ba247c,1,2
1,SSCP-03f5833535b5c416,1,2
1,SSCP-0424dedce7979966,1,2
1,SSCP-042ab7cc2a5829e4,1,2
1,SSCP-043bcc07b2ab4d6c,1,2
1,SSCP-0453904610c6a5e2,1,2
1,SSCP-04df124f18acc598,1,2
1,SSCP-051b3b51188d45f0,1,2
1,SSCP-0534c6517f0756c9,1,2
1,SSCP-05645ce12eb7c244,1,2
1,SSCP-05bb2ae7b9ecac58,1,2
1,SSCP-05d4a14c1caa1ec0,1,2
1,SSCP-06593781dba86cb7,1,2
1,SSCP-0665c31e34355fdb,1,2
1,SSCP-06e5c0cc41c28ebc,1,2
1,SSCP-06efe08a5bc9094b,1,2
1,SSCP-070bde1f77ba4969,1,2
1,SSCP-0744e3be64c7baa9,1,2
1,SSCP-074cda148cbaa40c,1,2
1,SSCP-07a156b73e8bdee8,1,2
1,SSCP-07b7f81724168005,1,2
1,SSCP-07b91af8622de607,1,2
1,SSCP-07bdf9a6de47a56f,1,2
1,SSCP-07cbd47087850a06,1,2
1,SSCP-07f74b125f8ecb56,1,2
1,SSCP-081aac9bce99132b,1,2
1,SSCP-0838f2e7ebc7940a,1,2
1,SSCP-0839dafce3db3872,1,2
1,SSCP-08c49c031679b21b,1,2
