outer_fold,inner_basket,n_fit_ids,fit_ids_sha256,n_inner_validation_ids,inner_validation_ids_sha256,n_outer_test_ids,outer_test_ids_sha256
1,1,4137,5d34d55c9eaae23e716c35233567a21e7fe7fa36ae58208c8336612cc7f2f848,1379,e3160a89021d2843ed99bd648a50cfee83000a59c769135b2e03651eaa7790af,1379,4f888bec3f478eb2266ee439168839725ef68b4b6dac1e1a36b9c083e63b9caa
1,2,4137,33f170e331b777e0d15c7eea212224644aacb22082f6c29e1e4a463a0ca2615a,1379,9d433e76de15e6e2fcb6a251545613a5c047c2ae46f3ef12a0bed1d53e3065b7,1379,4f888bec3f478eb2266ee439168839725ef68b4b6dac1e1a36b9c083e63b9caa
1,3,4137,8760ed01880ec767b453460c85b6b2dd6bc82513207acfa9c4b9f0370011e76a,1379,82e6e930d696e080b1b61367f2ba34db33cd511ecd2f849dd5ab1faccdf7ef4a,1379,4f888bec3f478eb2266ee439168839725ef68b4b6dac1e1a36b9c083e63b9caa
1,4,4137,245c848680cb1ab8455cbc77879945dde1cd7330e565e2550415e1249896a547,1379,a17cae0977770dd6bf26ab770c24bc7c763d09c9a3c626c6bb0c01630da865e6,1379,4f888bec3f478eb2266ee439168839725ef68b4b6dac1e1a36b9c083e63b9caa
2,1,4137,5d34d55c9eaae23e716c35233567a21e7fe7fa36ae58208c8336612cc7f2f848,1379,4f888bec3f478eb2266ee439168839725ef68b4b6dac1e1a36b9c083e63b9caa,1379,e3160a89021d2843ed99bd648a50cfee83000a59c769135b2e03651eaa7790af
2,2,4137,25580607037e4e1fdb45e930511fdeff5e3c5c00d05efe8d516fb5e86dd0aab1,1379,9d433e76de15e6e2fcb6a251545613a5c047c2ae46f3ef12a0bed1d53e3065b7,1379,e3160a89021d2843ed99bd648a50cfee83000a59c769135b2e03651eaa7790af
2,3,4137,5d62d90e6a8defe5a789625a85e61249845aae0645977f0cc0dff2f87cf53454,1379,82e6e930d696e080b1b61367f2ba34db33cd511ecd2f849dd5ab1faccdf7ef4a,1379,e3160a89021d2843ed99bd648a50cfee83000a59c769135b2e03651eaa7790af
2,4,4137,9deb51912c5426b933d5bcdb42d1b973e4cf9d5c9fd5ff7634c0d5ca062c51b0,1379,a17cae0977770dd6bf26ab770c24bc7c763d09c9a3c626c6bb0c01630da865e6,1379,e3160a89021d2843ed99bd648a50cfee83000a59c769135b2e03651eaa7790af
3,1,4137,33f170e331b777e0d15c7eea212224644aacb22082f6c29e1e4a463a0ca2615a,1379,4f888bec3f478eb2266ee439168839725ef68b4b6dac1e1a36b9c083e63b9caa,1379,9d433e76de15e6e2fcb6a251545613a5c047c2ae46f3ef12a0bed1d53e3065b7
3,2,4137,25580607037e4e1fdb45e930511fdeff5e3c5c00d05efe8d516fb5e86dd0aab1,1379,e3160a89021d2843ed99bd648a50cfee83000a59c769135b2e03651eaa7790af,1379,9d433e76de15e6e2fcb6a251545613a5c047c2ae46f3ef12a0bed1d53e3065b7
3,3,4137,f640f1554ada6da5ac8e1c4c4ed88c4f86e614da9c58a2c86568833e895ec19c,1379,82e6e930d696e080b1b61367f2ba34db33cd511ecd2f849dd5ab1faccdf7ef4a,1379,9d433e76de15e6e2fcb6a251545613a5c047c2ae46f3ef12a0bed1d53e3065b7
3,4,4137,cd76921086810422dae335a04bfbb5af7d2e8468868d4edb4ab0c6442a9b2a42,1379,a17cae0977770dd6bf26ab770c24bc7c763d09c9a3c626c6bb0c01630da865e6,1379,9d433e76de15e6e2fcb6a251545613a5c047c2ae46f3ef12a0bed1d53e3065b7
4,1,4137,8760ed01880ec767b453460c85b6b2dd6bc82513207acfa9c4b9f0370011e76a,1379,4f888bec3f478eb2266ee439168839725ef68b4b6dac1e1a36b9c083e63b9caa,1379,82e6e930d696e080b1b61367f2ba34db33cd511ecd2f849dd5ab1faccdf7ef4a
4,2,4137,5d62d90e6a8defe5a789625a85e61249845aae0645977f0cc0dff2f87cf53454,1379,e3160a89021d2843ed99bd648a50cfee83000a59c769135b2e03651eaa7790af,1379,82e6e930d696e080b1b61367f2ba34db33cd511ecd2f849dd5ab1faccdf7ef4a
4,3,4137,f640f1554ada6da5ac8e1c4c4ed88c4f86e614da9c58a2c86568833e895ec19c,1379,9d433e76de15e6e2fcb6a251545613a5c047c2ae46f3ef12a0bed1d53e3065b7,1379,82e6e930d696e080b1b61367f2ba34db33cd511ecd2f849dd5ab1faccdf7ef4a
4,4,4137,2ce25f77649b40bb715a19f733d215f204504089530e686e439f7744fa860dcb,1379,a17cae0977770dd6bf26ab770c24bc7c763d09c9a3c626c6bb0c01630da865e6,1379,82e6e930d696e080b1b61367f2ba34db33cd511ecd2f849dd5ab1faccdf7ef4a
5,1,4137,245c848680cb1ab8455cbc77879945dde1cd7330e565e2550415e1249896a547,1379,4f888bec3f478eb2266ee439168839725ef68b4b6dac1e1a36b9c083e63b9caa,1379,a17cae0977770dd6bf26ab770c24bc7c763d09c9a3c626c6bb0c01630da865e6
