outer_fold,matched_size_random_fold,inner_basket,n_curated_rows
1,5,1,4010
1,3,2,1518
1,7,3,842
1,2,4,16
1,4,4,11
1,6,4,3
1,8,4,4
1,9,4,36
1,10,4,18
1,11,4,17
1,12,4,105
1,13,4,10
1,14,4,8
1,15,4,249
1,16,4,18
1,17,4,7
1,18,4,7
2,5,1,4010
2,3,2,1518
2,7,3,842
2,1,4,16
2,4,4,11
2,6,4,3
2,8,4,4
2,9,4,36
2,10,4,18
2,11,4,17
2,12,4,105
2,13,4,10
2,14,4,8
2,15,4,249
2,16,4,18
2,17,4,7
2,18,4,7
3,5,1,4010
3,7,2,842
3,6,3,3
3,8,3,4
3,15,3,249
3,17,3,7
3,1,4,16
3,2,4,16
3,4,4,11
3,9,4,36
3,10,4,18
3,11,4,17
3,12,4,105
3,13,4,10
3,14,4,8
3,16,4,18
3,18,4,7
4,5,1,4010
4,3,2,1518
4,7,3,842
4,1,4,16
4,2,4,16
4,6,4,3
4,8,4,4
4,9,4,36
4,10,4,18
4,11,4,17
4,12,4,105
4,13,4,10
4,14,4,8
4,15,4,249
4,16,4,18
4,17,4,7
4,18,4,7
5,3,1,1518
5,7,2,842
5,6,3,3
5,8,3,4
5,15,3,249
5,17,3,7
5,1,4,16
5,2,4,16
5,4,4,11
5,9,4,36
5,10,4,18
5,11,4,17
5,12,4,105
5,13,4,10
5,14,4,8
5,16,4,18
5,18,4,7
6,5,1,4010
6,3,2,1518
6,7,3,842
6,1,4,16
6,2,4,16
6,4,4,11
6,8,4,4
6,9,4,36
6,10,4,18
6,11,4,17
6,12,4,105
6,13,4,10
6,14,4,8
6,15,4,249
6,16,4,18
6,17,4,7
6,18,4,7
7,5,1,4010
7,3,2,1518
7,6,3,3
7,8,3,4
7,15,3,249
7,17,3,7
7,1,4,16
7,2,4,16
7,4,4,11
7,9,4,36
7,10,4,18
7,11,4,17
7,12,4,105
7,13,4,10
7,14,4,8
7,16,4,18
7,18,4,7
8,5,1,4010
8,3,2,1518
8,7,3,842
8,1,4,16
8,2,4,16
8,4,4,11
8,6,4,3
8,9,4,36
8,10,4,18
8,11,4,17
8,12,4,105
8,13,4,10
8,14,4,8
8,15,4,249
8,16,4,18
8,17,4,7
8,18,4,7
9,5,1,4010
9,3,2,1518
9,7,3,842
9,1,4,16
9,2,4,16
9,4,4,11
9,6,4,3
9,8,4,4
9,10,4,18
9,11,4,17
9,12,4,105
9,13,4,10
9,14,4,8
9,15,4,249
9,16,4,18
9,17,4,7
9,18,4,7
10,5,1,4010
10,3,2,1518
10,7,3,842
10,1,4,16
10,2,4,16
10,4,4,11
10,6,4,3
10,8,4,4
10,9,4,36
10,11,4,17
10,12,4,105
10,13,4,10
10,14,4,8
10,15,4,249
10,16,4,18
10,17,4,7
10,18,4,7
11,5,1,4010
11,3,2,1518
11,7,3,842
11,1,4,16
11,2,4,16
11,4,4,11
11,6,4,3
11,8,4,4
11,9,4,36
11,10,4,18
11,12,4,105
11,13,4,10
11,14,4,8
11,15,4,249
11,16,4,18
11,17,4,7
11,18,4,7
12,5,1,4010
12,3,2,1518
12,7,3,842
12,1,4,16
12,2,4,16
12,4,4,11
12,6,4,3
12,8,4,4
12,9,4,36
12,10,4,18
12,11,4,17
12,13,4,10
12,14,4,8
12,15,4,249
12,16,4,18
12,17,4,7
12,18,4,7
13,5,1,4010
13,3,2,1518
13,7,3,842
13,1,4,16
13,2,4,16
13,4,4,11
13,6,4,3
13,8,4,4
13,9,4,36
13,10,4,18
13,11,4,17
13,12,4,105
13,14,4,8
13,15,4,249
13,16,4,18
13,17,4,7
13,18,4,7
14,5,1,4010
14,3,2,1518
14,7,3,842
14,1,4,16
14,2,4,16
14,4,4,11
14,6,4,3
14,8,4,4
14,9,4,36
14,10,4,18
14,11,4,17
14,12,4,105
14,13,4,10
14,15,4,249
14,16,4,18
14,17,4,7
14,18,4,7
15,5,1,4010
15,3,2,1518
15,7,3,842
15,1,4,16
15,2,4,16
15,4,4,11
15,6,4,3
15,8,4,4
15,9,4,36
15,10,4,18
15,11,4,17
15,12,4,105
15,13,4,10
15,14,4,8
15,16,4,18
15,17,4,7
15,18,4,7
16,5,1,4010
16,3,2,1518
16,7,3,842
16,1,4,16
16,2,4,16
16,4,4,11
16,6,4,3
16,8,4,4
16,9,4,36
16,10,4,18
16,11,4,17
16,12,4,105
16,13,4,10
16,14,4,8
16,15,4,249
16,17,4,7
16,18,4,7
17,5,1,4010
17,3,2,1518
17,7,3,842
17,1,4,16
17,2,4,16
17,4,4,11
17,6,4,3
17,8,4,4
17,9,4,36
17,10,4,18
17,11,4,17
17,12,4,105
17,13,4,10
17,14,4,8
17,15,4,249
17,16,4,18
17,18,4,7
18,5,1,4010
18,3,2,1518
18,7,3,842
18,1,4,16
18,2,4,16
18,4,4,11
18,6,4,3
18,8,4,4
18,9,4,36
18,10,4,18
18,11,4,17
18,12,4,105
18,13,4,10
18,14,4,8
18,15,4,249
18,16,4,18
18,17,4,7
