outer_fold,matched_size_random_fold,role,n_curated_rows
1,1,test,16
1,2,train,16
1,3,train,1518
1,4,train,11
1,5,train,4010
1,6,train,3
1,7,train,842
1,8,train,4
1,9,train,36
1,10,train,18
1,11,train,17
1,12,train,105
1,13,train,10
1,14,train,8
1,15,train,249
1,16,train,18
1,17,train,7
1,18,train,7
2,1,train,16
2,2,test,16
2,3,train,1518
2,4,train,11
2,5,train,4010
2,6,train,3
2,7,train,842
2,8,train,4
2,9,train,36
2,10,train,18
2,11,train,17
2,12,train,105
2,13,train,10
2,14,train,8
2,15,train,249
2,16,train,18
2,17,train,7
2,18,train,7
3,1,train,16
3,2,train,16
3,3,test,1518
3,4,train,11
3,5,train,4010
3,6,train,3
3,7,train,842
3,8,train,4
3,9,train,36
3,10,train,18
3,11,train,17
3,12,train,105
3,13,train,10
3,14,train,8
3,15,train,249
3,16,train,18
3,17,train,7
3,18,train,7
4,1,train,16
4,2,train,16
4,3,train,1518
4,4,test,11
4,5,train,4010
4,6,train,3
4,7,train,842
4,8,train,4
4,9,train,36
4,10,train,18
4,11,train,17
4,12,train,105
4,13,train,10
4,14,train,8
4,15,train,249
4,16,train,18
4,17,train,7
4,18,train,7
5,1,train,16
5,2,train,16
5,3,train,1518
5,4,train,11
5,5,test,4010
5,6,train,3
5,7,train,842
5,8,train,4
5,9,train,36
5,10,train,18
5,11,train,17
5,12,train,105
5,13,train,10
5,14,train,8
5,15,train,249
5,16,train,18
5,17,train,7
5,18,train,7
6,1,train,16
6,2,train,16
6,3,train,1518
6,4,train,11
6,5,train,4010
6,6,test,3
6,7,train,842
6,8,train,4
6,9,train,36
6,10,train,18
6,11,train,17
6,12,train,105
6,13,train,10
6,14,train,8
6,15,train,249
6,16,train,18
6,17,train,7
6,18,train,7
7,1,train,16
7,2,train,16
7,3,train,1518
7,4,train,11
7,5,train,4010
7,6,train,3
7,7,test,842
7,8,train,4
7,9,train,36
7,10,train,18
7,11,train,17
7,12,train,105
7,13,train,10
7,14,train,8
7,15,train,249
7,16,train,18
7,17,train,7
7,18,train,7
8,1,train,16
8,2,train,16
8,3,train,1518
8,4,train,11
8,5,train,4010
8,6,train,3
8,7,train,842
8,8,test,4
8,9,train,36
8,10,train,18
8,11,train,17
8,12,train,105
8,13,train,10
8,14,train,8
8,15,train,249
8,16,train,18
8,17,train,7
8,18,train,7
9,1,train,16
9,2,train,16
9,3,train,1518
9,4,train,11
9,5,train,4010
9,6,train,3
9,7,train,842
9,8,train,4
9,9,test,36
9,10,train,18
9,11,train,17
9,12,train,105
9,13,train,10
9,14,train,8
9,15,train,249
9,16,train,18
9,17,train,7
9,18,train,7
10,1,train,16
10,2,train,16
10,3,train,1518
10,4,train,11
10,5,train,4010
10,6,train,3
10,7,train,842
10,8,train,4
10,9,train,36
10,10,test,18
10,11,train,17
10,12,train,105
10,13,train,10
10,14,train,8
10,15,train,249
10,16,train,18
10,17,train,7
10,18,train,7
11,1,train,16
11,2,train,16
11,3,train,1518
11,4,train,11
11,5,train,4010
11,6,train,3
11,7,train,842
11,8,train,4
11,9,train,36
11,10,train,18
11,11,test,17
11,12,train,105
11,13,train,10
11,14,train,8
11,15,train,249
11,16,train,18
11,17,train,7
11,18,train,7
12,1,train,16
12,2,train,16
12,3,train,1518
12,4,train,11
12,5,train,4010
12,6,train,3
12,7,train,842
12,8,train,4
12,9,train,36
12,10,train,18
12,11,train,17
12,12,test,105
12,13,train,10
12,14,train,8
12,15,train,249
12,16,train,18
12,17,train,7
12,18,train,7
13,1,train,16
13,2,train,16
13,3,train,1518
13,4,train,11
13,5,train,4010
13,6,train,3
13,7,train,842
13,8,train,4
13,9,train,36
13,10,train,18
13,11,train,17
13,12,train,105
13,13,test,10
13,14,train,8
13,15,train,249
13,16,train,18
13,17,train,7
13,18,train,7
14,1,train,16
14,2,train,16
14,3,train,1518
14,4,train,11
14,5,train,4010
14,6,train,3
14,7,train,842
14,8,train,4
14,9,train,36
14,10,train,18
14,11,train,17
14,12,train,105
14,13,train,10
14,14,test,8
14,15,train,249
14,16,train,18
14,17,train,7
14,18,train,7
15,1,train,16
15,2,train,16
15,3,train,1518
15,4,train,11
15,5,train,4010
15,6,train,3
15,7,train,842
15,8,train,4
15,9,train,36
15,10,train,18
15,11,train,17
15,12,train,105
15,13,train,10
15,14,train,8
15,15,test,249
15,16,train,18
15,17,train,7
15,18,train,7
16,1,train,16
16,2,train,16
16,3,train,1518
16,4,train,11
16,5,train,4010
16,6,train,3
16,7,train,842
16,8,train,4
16,9,train,36
16,10,train,18
16,11,train,17
16,12,train,105
16,13,train,10
16,14,train,8
16,15,train,249
16,16,test,18
16,17,train,7
16,18,train,7
17,1,train,16
17,2,train,16
17,3,train,1518
17,4,train,11
17,5,train,4010
17,6,train,3
17,7,train,842
17,8,train,4
17,9,train,36
17,10,train,18
17,11,train,17
17,12,train,105
17,13,train,10
17,14,train,8
17,15,train,249
17,16,train,18
17,17,test,7
17,18,train,7
18,1,train,16
18,2,train,16
18,3,train,1518
18,4,train,11
18,5,train,4010
18,6,train,3
18,7,train,842
18,8,train,4
18,9,train,36
18,10,train,18
18,11,train,17
18,12,train,105
18,13,train,10
18,14,train,8
18,15,train,249
18,16,train,18
18,17,train,7
18,18,test,7
