outer_fold,outer_test_block,sealed_block_id,inner_basket,n_curated_rows
1,BLOCK-2c0090ee1dd5b17e,BLOCK-513383ed86a73488,1,4010
1,BLOCK-2c0090ee1dd5b17e,BLOCK-4494eb5738fce47c,2,1518
1,BLOCK-2c0090ee1dd5b17e,BLOCK-5c361cba45039733,3,842
1,BLOCK-2c0090ee1dd5b17e,BLOCK-394ff80f01cbc968,4,16
1,BLOCK-2c0090ee1dd5b17e,BLOCK-4acd8e0f532c9eb9,4,11
1,BLOCK-2c0090ee1dd5b17e,BLOCK-5930edb067c8c52f,4,3
1,BLOCK-2c0090ee1dd5b17e,BLOCK-5ddb30f65478f699,4,4
1,BLOCK-2c0090ee1dd5b17e,BLOCK-5f91132e1b252609,4,36
1,BLOCK-2c0090ee1dd5b17e,BLOCK-8dbd1f0100199b32,4,18
1,BLOCK-2c0090ee1dd5b17e,BLOCK-ad504a636f9fcddf,4,17
1,BLOCK-2c0090ee1dd5b17e,BLOCK-bb4bcb852b735057,4,105
1,BLOCK-2c0090ee1dd5b17e,BLOCK-bb889e938c0a001a,4,10
1,BLOCK-2c0090ee1dd5b17e,BLOCK-c1585d53eda9a867,4,8
1,BLOCK-2c0090ee1dd5b17e,BLOCK-c5e520eb3b94ff25,4,249
1,BLOCK-2c0090ee1dd5b17e,BLOCK-d0fe24e9c28856d1,4,18
1,BLOCK-2c0090ee1dd5b17e,BLOCK-e729b0aa52978c75,4,7
1,BLOCK-2c0090ee1dd5b17e,BLOCK-fc0b343dfac9ab9d,4,7
2,BLOCK-394ff80f01cbc968,BLOCK-513383ed86a73488,1,4010
2,BLOCK-394ff80f01cbc968,BLOCK-4494eb5738fce47c,2,1518
2,BLOCK-394ff80f01cbc968,BLOCK-5c361cba45039733,3,842
2,BLOCK-394ff80f01cbc968,BLOCK-2c0090ee1dd5b17e,4,16
2,BLOCK-394ff80f01cbc968,BLOCK-4acd8e0f532c9eb9,4,11
2,BLOCK-394ff80f01cbc968,BLOCK-5930edb067c8c52f,4,3
2,BLOCK-394ff80f01cbc968,BLOCK-5ddb30f65478f699,4,4
2,BLOCK-394ff80f01cbc968,BLOCK-5f91132e1b252609,4,36
2,BLOCK-394ff80f01cbc968,BLOCK-8dbd1f0100199b32,4,18
2,BLOCK-394ff80f01cbc968,BLOCK-ad504a636f9fcddf,4,17
2,BLOCK-394ff80f01cbc968,BLOCK-bb4bcb852b735057,4,105
2,BLOCK-394ff80f01cbc968,BLOCK-bb889e938c0a001a,4,10
2,BLOCK-394ff80f01cbc968,BLOCK-c1585d53eda9a867,4,8
2,BLOCK-394ff80f01cbc968,BLOCK-c5e520eb3b94ff25,4,249
2,BLOCK-394ff80f01cbc968,BLOCK-d0fe24e9c28856d1,4,18
2,BLOCK-394ff80f01cbc968,BLOCK-e729b0aa52978c75,4,7
2,BLOCK-394ff80f01cbc968,BLOCK-fc0b343dfac9ab9d,4,7
3,BLOCK-4494eb5738fce47c,BLOCK-513383ed86a73488,1,4010
3,BLOCK-4494eb5738fce47c,BLOCK-5c361cba45039733,2,842
3,BLOCK-4494eb5738fce47c,BLOCK-5930edb067c8c52f,3,3
3,BLOCK-4494eb5738fce47c,BLOCK-5ddb30f65478f699,3,4
3,BLOCK-4494eb5738fce47c,BLOCK-c5e520eb3b94ff25,3,249
3,BLOCK-4494eb5738fce47c,BLOCK-e729b0aa52978c75,3,7
3,BLOCK-4494eb5738fce47c,BLOCK-2c0090ee1dd5b17e,4,16
3,BLOCK-4494eb5738fce47c,BLOCK-394ff80f01cbc968,4,16
3,BLOCK-4494eb5738fce47c,BLOCK-4acd8e0f532c9eb9,4,11
3,BLOCK-4494eb5738fce47c,BLOCK-5f91132e1b252609,4,36
3,BLOCK-4494eb5738fce47c,BLOCK-8dbd1f0100199b32,4,18
3,BLOCK-4494eb5738fce47c,BLOCK-ad504a636f9fcddf,4,17
3,BLOCK-4494eb5738fce47c,BLOCK-bb4bcb852b735057,4,105
3,BLOCK-4494eb5738fce47c,BLOCK-bb889e938c0a001a,4,10
3,BLOCK-4494eb5738fce47c,BLOCK-c1585d53eda9a867,4,8
3,BLOCK-4494eb5738fce47c,BLOCK-d0fe24e9c28856d1,4,18
3,BLOCK-4494eb5738fce47c,BLOCK-fc0b343dfac9ab9d,4,7
4,BLOCK-4acd8e0f532c9eb9,BLOCK-513383ed86a73488,1,4010
4,BLOCK-4acd8e0f532c9eb9,BLOCK-4494eb5738fce47c,2,1518
4,BLOCK-4acd8e0f532c9eb9,BLOCK-5c361cba45039733,3,842
4,BLOCK-4acd8e0f532c9eb9,BLOCK-2c0090ee1dd5b17e,4,16
4,BLOCK-4acd8e0f532c9eb9,BLOCK-394ff80f01cbc968,4,16
4,BLOCK-4acd8e0f532c9eb9,BLOCK-5930edb067c8c52f,4,3
4,BLOCK-4acd8e0f532c9eb9,BLOCK-5ddb30f65478f699,4,4
4,BLOCK-4acd8e0f532c9eb9,BLOCK-5f91132e1b252609,4,36
4,BLOCK-4acd8e0f532c9eb9,BLOCK-8dbd1f0100199b32,4,18
4,BLOCK-4acd8e0f532c9eb9,BLOCK-ad504a636f9fcddf,4,17
4,BLOCK-4acd8e0f532c9eb9,BLOCK-bb4bcb852b735057,4,105
4,BLOCK-4acd8e0f532c9eb9,BLOCK-bb889e938c0a001a,4,10
4,BLOCK-4acd8e0f532c9eb9,BLOCK-c1585d53eda9a867,4,8
4,BLOCK-4acd8e0f532c9eb9,BLOCK-c5e520eb3b94ff25,4,249
4,BLOCK-4acd8e0f532c9eb9,BLOCK-d0fe24e9c28856d1,4,18
4,BLOCK-4acd8e0f532c9eb9,BLOCK-e729b0aa52978c75,4,7
4,BLOCK-4acd8e0f532c9eb9,BLOCK-fc0b343dfac9ab9d,4,7
5,BLOCK-513383ed86a73488,BLOCK-4494eb5738fce47c,1,1518
5,BLOCK-513383ed86a73488,BLOCK-5c361cba45039733,2,842
5,BLOCK-513383ed86a73488,BLOCK-5930edb067c8c52f,3,3
5,BLOCK-513383ed86a73488,BLOCK-5ddb30f65478f699,3,4
5,BLOCK-513383ed86a73488,BLOCK-c5e520eb3b94ff25,3,249
5,BLOCK-513383ed86a73488,BLOCK-e729b0aa52978c75,3,7
5,BLOCK-513383ed86a73488,BLOCK-2c0090ee1dd5b17e,4,16
5,BLOCK-513383ed86a73488,BLOCK-394ff80f01cbc968,4,16
5,BLOCK-513383ed86a73488,BLOCK-4acd8e0f532c9eb9,4,11
5,BLOCK-513383ed86a73488,BLOCK-5f91132e1b252609,4,36
5,BLOCK-513383ed86a73488,BLOCK-8dbd1f0100199b32,4,18
5,BLOCK-513383ed86a73488,BLOCK-ad504a636f9fcddf,4,17
5,BLOCK-513383ed86a73488,BLOCK-bb4bcb852b735057,4,105
5,BLOCK-513383ed86a73488,BLOCK-bb889e938c0a001a,4,10
5,BLOCK-513383ed86a73488,BLOCK-c1585d53eda9a867,4,8
5,BLOCK-513383ed86a73488,BLOCK-d0fe24e9c28856d1,4,18
5,BLOCK-513383ed86a73488,BLOCK-fc0b343dfac9ab9d,4,7
6,BLOCK-5930edb067c8c52f,BLOCK-513383ed86a73488,1,4010
6,BLOCK-5930edb067c8c52f,BLOCK-4494eb5738fce47c,2,1518
6,BLOCK-5930edb067c8c52f,BLOCK-5c361cba45039733,3,842
6,BLOCK-5930edb067c8c52f,BLOCK-2c0090ee1dd5b17e,4,16
6,BLOCK-5930edb067c8c52f,BLOCK-394ff80f01cbc968,4,16
6,BLOCK-5930edb067c8c52f,BLOCK-4acd8e0f532c9eb9,4,11
6,BLOCK-5930edb067c8c52f,BLOCK-5ddb30f65478f699,4,4
6,BLOCK-5930edb067c8c52f,BLOCK-5f91132e1b252609,4,36
6,BLOCK-5930edb067c8c52f,BLOCK-8dbd1f0100199b32,4,18
6,BLOCK-5930edb067c8c52f,BLOCK-ad504a636f9fcddf,4,17
6,BLOCK-5930edb067c8c52f,BLOCK-bb4bcb852b735057,4,105
6,BLOCK-5930edb067c8c52f,BLOCK-bb889e938c0a001a,4,10
6,BLOCK-5930edb067c8c52f,BLOCK-c1585d53eda9a867,4,8
6,BLOCK-5930edb067c8c52f,BLOCK-c5e520eb3b94ff25,4,249
6,BLOCK-5930edb067c8c52f,BLOCK-d0fe24e9c28856d1,4,18
6,BLOCK-5930edb067c8c52f,BLOCK-e729b0aa52978c75,4,7
6,BLOCK-5930edb067c8c52f,BLOCK-fc0b343dfac9ab9d,4,7
7,BLOCK-5c361cba45039733,BLOCK-513383ed86a73488,1,4010
7,BLOCK-5c361cba45039733,BLOCK-4494eb5738fce47c,2,1518
7,BLOCK-5c361cba45039733,BLOCK-5930edb067c8c52f,3,3
7,BLOCK-5c361cba45039733,BLOCK-5ddb30f65478f699,3,4
7,BLOCK-5c361cba45039733,BLOCK-c5e520eb3b94ff25,3,249
7,BLOCK-5c361cba45039733,BLOCK-e729b0aa52978c75,3,7
7,BLOCK-5c361cba45039733,BLOCK-2c0090ee1dd5b17e,4,16
7,BLOCK-5c361cba45039733,BLOCK-394ff80f01cbc968,4,16
7,BLOCK-5c361cba45039733,BLOCK-4acd8e0f532c9eb9,4,11
7,BLOCK-5c361cba45039733,BLOCK-5f91132e1b252609,4,36
7,BLOCK-5c361cba45039733,BLOCK-8dbd1f0100199b32,4,18
7,BLOCK-5c361cba45039733,BLOCK-ad504a636f9fcddf,4,17
7,BLOCK-5c361cba45039733,BLOCK-bb4bcb852b735057,4,105
7,BLOCK-5c361cba45039733,BLOCK-bb889e938c0a001a,4,10
7,BLOCK-5c361cba45039733,BLOCK-c1585d53eda9a867,4,8
7,BLOCK-5c361cba45039733,BLOCK-d0fe24e9c28856d1,4,18
7,BLOCK-5c361cba45039733,BLOCK-fc0b343dfac9ab9d,4,7
8,BLOCK-5ddb30f65478f699,BLOCK-513383ed86a73488,1,4010
8,BLOCK-5ddb30f65478f699,BLOCK-4494eb5738fce47c,2,1518
8,BLOCK-5ddb30f65478f699,BLOCK-5c361cba45039733,3,842
8,BLOCK-5ddb30f65478f699,BLOCK-2c0090ee1dd5b17e,4,16
8,BLOCK-5ddb30f65478f699,BLOCK-394ff80f01cbc968,4,16
8,BLOCK-5ddb30f65478f699,BLOCK-4acd8e0f532c9eb9,4,11
8,BLOCK-5ddb30f65478f699,BLOCK-5930edb067c8c52f,4,3
8,BLOCK-5ddb30f65478f699,BLOCK-5f91132e1b252609,4,36
8,BLOCK-5ddb30f65478f699,BLOCK-8dbd1f0100199b32,4,18
8,BLOCK-5ddb30f65478f699,BLOCK-ad504a636f9fcddf,4,17
8,BLOCK-5ddb30f65478f699,BLOCK-bb4bcb852b735057,4,105
8,BLOCK-5ddb30f65478f699,BLOCK-bb889e938c0a001a,4,10
8,BLOCK-5ddb30f65478f699,BLOCK-c1585d53eda9a867,4,8
8,BLOCK-5ddb30f65478f699,BLOCK-c5e520eb3b94ff25,4,249
8,BLOCK-5ddb30f65478f699,BLOCK-d0fe24e9c28856d1,4,18
