outer_fold,outer_test_block,sealed_block_id,role,n_curated_rows,n_sources,n_analogue_components
1,BLOCK-2c0090ee1dd5b17e,BLOCK-2c0090ee1dd5b17e,test,16,1,2
1,BLOCK-2c0090ee1dd5b17e,BLOCK-394ff80f01cbc968,train,16,1,1
1,BLOCK-2c0090ee1dd5b17e,BLOCK-4494eb5738fce47c,train,1518,1,3
1,BLOCK-2c0090ee1dd5b17e,BLOCK-4acd8e0f532c9eb9,train,11,1,1
1,BLOCK-2c0090ee1dd5b17e,BLOCK-513383ed86a73488,train,4010,20,162
1,BLOCK-2c0090ee1dd5b17e,BLOCK-5930edb067c8c52f,train,3,1,1
1,BLOCK-2c0090ee1dd5b17e,BLOCK-5c361cba45039733,train,842,1,112
1,BLOCK-2c0090ee1dd5b17e,BLOCK-5ddb30f65478f699,train,4,1,3
1,BLOCK-2c0090ee1dd5b17e,BLOCK-5f91132e1b252609,train,36,1,1
1,BLOCK-2c0090ee1dd5b17e,BLOCK-8dbd1f0100199b32,train,18,1,1
1,BLOCK-2c0090ee1dd5b17e,BLOCK-ad504a636f9fcddf,train,17,1,2
1,BLOCK-2c0090ee1dd5b17e,BLOCK-bb4bcb852b735057,train,105,3,5
1,BLOCK-2c0090ee1dd5b17e,BLOCK-bb889e938c0a001a,train,10,1,2
1,BLOCK-2c0090ee1dd5b17e,BLOCK-c1585d53eda9a867,train,8,2,2
1,BLOCK-2c0090ee1dd5b17e,BLOCK-c5e520eb3b94ff25,train,249,2,1
1,BLOCK-2c0090ee1dd5b17e,BLOCK-d0fe24e9c28856d1,train,18,1,3
1,BLOCK-2c0090ee1dd5b17e,BLOCK-e729b0aa52978c75,train,7,1,2
1,BLOCK-2c0090ee1dd5b17e,BLOCK-fc0b343dfac9ab9d,train,7,1,1
2,BLOCK-394ff80f01cbc968,BLOCK-2c0090ee1dd5b17e,train,16,1,2
2,BLOCK-394ff80f01cbc968,BLOCK-394ff80f01cbc968,test,16,1,1
2,BLOCK-394ff80f01cbc968,BLOCK-4494eb5738fce47c,train,1518,1,3
2,BLOCK-394ff80f01cbc968,BLOCK-4acd8e0f532c9eb9,train,11,1,1
2,BLOCK-394ff80f01cbc968,BLOCK-513383ed86a73488,train,4010,20,162
2,BLOCK-394ff80f01cbc968,BLOCK-5930edb067c8c52f,train,3,1,1
2,BLOCK-394ff80f01cbc968,BLOCK-5c361cba45039733,train,842,1,112
2,BLOCK-394ff80f01cbc968,BLOCK-5ddb30f65478f699,train,4,1,3
2,BLOCK-394ff80f01cbc968,BLOCK-5f91132e1b252609,train,36,1,1
2,BLOCK-394ff80f01cbc968,BLOCK-8dbd1f0100199b32,train,18,1,1
2,BLOCK-394ff80f01cbc968,BLOCK-ad504a636f9fcddf,train,17,1,2
2,BLOCK-394ff80f01cbc968,BLOCK-bb4bcb852b735057,train,105,3,5
2,BLOCK-394ff80f01cbc968,BLOCK-bb889e938c0a001a,train,10,1,2
2,BLOCK-394ff80f01cbc968,BLOCK-c1585d53eda9a867,train,8,2,2
2,BLOCK-394ff80f01cbc968,BLOCK-c5e520eb3b94ff25,train,249,2,1
2,BLOCK-394ff80f01cbc968,BLOCK-d0fe24e9c28856d1,train,18,1,3
2,BLOCK-394ff80f01cbc968,BLOCK-e729b0aa52978c75,train,7,1,2
2,BLOCK-394ff80f01cbc968,BLOCK-fc0b343dfac9ab9d,train,7,1,1
3,BLOCK-4494eb5738fce47c,BLOCK-2c0090ee1dd5b17e,train,16,1,2
3,BLOCK-4494eb5738fce47c,BLOCK-394ff80f01cbc968,train,16,1,1
3,BLOCK-4494eb5738fce47c,BLOCK-4494eb5738fce47c,test,1518,1,3
3,BLOCK-4494eb5738fce47c,BLOCK-4acd8e0f532c9eb9,train,11,1,1
3,BLOCK-4494eb5738fce47c,BLOCK-513383ed86a73488,train,4010,20,162
3,BLOCK-4494eb5738fce47c,BLOCK-5930edb067c8c52f,train,3,1,1
3,BLOCK-4494eb5738fce47c,BLOCK-5c361cba45039733,train,842,1,112
3,BLOCK-4494eb5738fce47c,BLOCK-5ddb30f65478f699,train,4,1,3
3,BLOCK-4494eb5738fce47c,BLOCK-5f91132e1b252609,train,36,1,1
3,BLOCK-4494eb5738fce47c,BLOCK-8dbd1f0100199b32,train,18,1,1
3,BLOCK-4494eb5738fce47c,BLOCK-ad504a636f9fcddf,train,17,1,2
3,BLOCK-4494eb5738fce47c,BLOCK-bb4bcb852b735057,train,105,3,5
3,BLOCK-4494eb5738fce47c,BLOCK-bb889e938c0a001a,train,10,1,2
3,BLOCK-4494eb5738fce47c,BLOCK-c1585d53eda9a867,train,8,2,2
3,BLOCK-4494eb5738fce47c,BLOCK-c5e520eb3b94ff25,train,249,2,1
3,BLOCK-4494eb5738fce47c,BLOCK-d0fe24e9c28856d1,train,18,1,3
3,BLOCK-4494eb5738fce47c,BLOCK-e729b0aa52978c75,train,7,1,2
3,BLOCK-4494eb5738fce47c,BLOCK-fc0b343dfac9ab9d,train,7,1,1
4,BLOCK-4acd8e0f532c9eb9,BLOCK-2c0090ee1dd5b17e,train,16,1,2
4,BLOCK-4acd8e0f532c9eb9,BLOCK-394ff80f01cbc968,train,16,1,1
4,BLOCK-4acd8e0f532c9eb9,BLOCK-4494eb5738fce47c,train,1518,1,3
4,BLOCK-4acd8e0f532c9eb9,BLOCK-4acd8e0f532c9eb9,test,11,1,1
4,BLOCK-4acd8e0f532c9eb9,BLOCK-513383ed86a73488,train,4010,20,162
4,BLOCK-4acd8e0f532c9eb9,BLOCK-5930edb067c8c52f,train,3,1,1
4,BLOCK-4acd8e0f532c9eb9,BLOCK-5c361cba45039733,train,842,1,112
4,BLOCK-4acd8e0f532c9eb9,BLOCK-5ddb30f65478f699,train,4,1,3
4,BLOCK-4acd8e0f532c9eb9,BLOCK-5f91132e1b252609,train,36,1,1
4,BLOCK-4acd8e0f532c9eb9,BLOCK-8dbd1f0100199b32,train,18,1,1
4,BLOCK-4acd8e0f532c9eb9,BLOCK-ad504a636f9fcddf,train,17,1,2
4,BLOCK-4acd8e0f532c9eb9,BLOCK-bb4bcb852b735057,train,105,3,5
4,BLOCK-4acd8e0f532c9eb9,BLOCK-bb889e938c0a001a,train,10,1,2
4,BLOCK-4acd8e0f532c9eb9,BLOCK-c1585d53eda9a867,train,8,2,2
4,BLOCK-4acd8e0f532c9eb9,BLOCK-c5e520eb3b94ff25,train,249,2,1
4,BLOCK-4acd8e0f532c9eb9,BLOCK-d0fe24e9c28856d1,train,18,1,3
4,BLOCK-4acd8e0f532c9eb9,BLOCK-e729b0aa52978c75,train,7,1,2
4,BLOCK-4acd8e0f532c9eb9,BLOCK-fc0b343dfac9ab9d,train,7,1,1
5,BLOCK-513383ed86a73488,BLOCK-2c0090ee1dd5b17e,train,16,1,2
5,BLOCK-513383ed86a73488,BLOCK-394ff80f01cbc968,train,16,1,1
5,BLOCK-513383ed86a73488,BLOCK-4494eb5738fce47c,train,1518,1,3
5,BLOCK-513383ed86a73488,BLOCK-4acd8e0f532c9eb9,train,11,1,1
5,BLOCK-513383ed86a73488,BLOCK-513383ed86a73488,test,4010,20,162
5,BLOCK-513383ed86a73488,BLOCK-5930edb067c8c52f,train,3,1,1
5,BLOCK-513383ed86a73488,BLOCK-5c361cba45039733,train,842,1,112
5,BLOCK-513383ed86a73488,BLOCK-5ddb30f65478f699,train,4,1,3
5,BLOCK-513383ed86a73488,BLOCK-5f91132e1b252609,train,36,1,1
5,BLOCK-513383ed86a73488,BLOCK-8dbd1f0100199b32,train,18,1,1
5,BLOCK-513383ed86a73488,BLOCK-ad504a636f9fcddf,train,17,1,2
5,BLOCK-513383ed86a73488,BLOCK-bb4bcb852b735057,train,105,3,5
5,BLOCK-513383ed86a73488,BLOCK-bb889e938c0a001a,train,10,1,2
5,BLOCK-513383ed86a73488,BLOCK-c1585d53eda9a867,train,8,2,2
5,BLOCK-513383ed86a73488,BLOCK-c5e520eb3b94ff25,train,249,2,1
5,BLOCK-513383ed86a73488,BLOCK-d0fe24e9c28856d1,train,18,1,3
5,BLOCK-513383ed86a73488,BLOCK-e729b0aa52978c75,train,7,1,2
5,BLOCK-513383ed86a73488,BLOCK-fc0b343dfac9ab9d,train,7,1,1
6,BLOCK-5930edb067c8c52f,BLOCK-2c0090ee1dd5b17e,train,16,1,2
6,BLOCK-5930edb067c8c52f,BLOCK-394ff80f01cbc968,train,16,1,1
6,BLOCK-5930edb067c8c52f,BLOCK-4494eb5738fce47c,train,1518,1,3
6,BLOCK-5930edb067c8c52f,BLOCK-4acd8e0f532c9eb9,train,11,1,1
6,BLOCK-5930edb067c8c52f,BLOCK-513383ed86a73488,train,4010,20,162
6,BLOCK-5930edb067c8c52f,BLOCK-5930edb067c8c52f,test,3,1,1
6,BLOCK-5930edb067c8c52f,BLOCK-5c361cba45039733,train,842,1,112
6,BLOCK-5930edb067c8c52f,BLOCK-5ddb30f65478f699,train,4,1,3
6,BLOCK-5930edb067c8c52f,BLOCK-5f91132e1b252609,train,36,1,1
6,BLOCK-5930edb067c8c52f,BLOCK-8dbd1f0100199b32,train,18,1,1
6,BLOCK-5930edb067c8c52f,BLOCK-ad504a636f9fcddf,train,17,1,2
6,BLOCK-5930edb067c8c52f,BLOCK-bb4bcb852b735057,train,105,3,5
6,BLOCK-5930edb067c8c52f,BLOCK-bb889e938c0a001a,train,10,1,2
6,BLOCK-5930edb067c8c52f,BLOCK-c1585d53eda9a867,train,8,2,2
6,BLOCK-5930edb067c8c52f,BLOCK-c5e520eb3b94ff25,train,249,2,1
6,BLOCK-5930edb067c8c52f,BLOCK-d0fe24e9c28856d1,train,18,1,3
6,BLOCK-5930edb067c8c52f,BLOCK-e729b0aa52978c75,train,7,1,2
6,BLOCK-5930edb067c8c52f,BLOCK-fc0b343dfac9ab9d,train,7,1,1
7,BLOCK-5c361cba45039733,BLOCK-2c0090ee1dd5b17e,train,16,1,2
7,BLOCK-5c361cba45039733,BLOCK-394ff80f01cbc968,train,16,1,1
7,BLOCK-5c361cba45039733,BLOCK-4494eb5738fce47c,train,1518,1,3
