curated_id,molecule_id,source,analogue_component_id,sealed_block_id,outer_fold,outer_test_block
SSCP-0001914838e8cc4c,MOL-7b07df605d456dab,2021_Wang,AC-fbc7f1ef462beb7f,BLOCK-d0fe24e9c28856d1,16,BLOCK-d0fe24e9c28856d1
SSCP-0001a0000d1e0d48,MOL-6cb1fd8eca5df954,2013_CHUGAI,AC-77fb0f10ded9ea1e,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-00095e8cb86235e5,MOL-7887a78268c93660,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-000a8487e899bcf7,MOL-8aa75e9cec850b82,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-001eb19defd3cb75,MOL-bb69e4a3d9a1b7af,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-0028ba97a7daa03b,MOL-27d62d608d15925d,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-0030cbdba246c74b,MOL-6616ef725495700a,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-0035e4c65c3a8326,MOL-5943418adce624f4,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-00639ae7589904e1,MOL-3105a406d55ba9c5,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-00661d874a768b31,MOL-b91d26533aff01f9,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-006d4798025f1716,MOL-31c4d425984ac4fd,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-006e14887ba7fd42,MOL-357170ad7deb9696,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-007348f537c8cd4c,MOL-0fcacc2bd48d0d50,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-008a443d73170279,MOL-75bf00745031e7f0,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-009428fe60df9a44,MOL-d7c72e3e2079ce88,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-009c050c405aed8f,MOL-8356bba722dd5758,2021_Kelly,AC-5e5c956882423f52,BLOCK-4494eb5738fce47c,3,BLOCK-4494eb5738fce47c
SSCP-00a092a2f7a25ae1,MOL-65c6dfa677e6b5c4,2016_Furukawa,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-00a276a15a1dc320,MOL-b1ef2fe5869fdf2d,2020_Townsend,AC-78305ee2e743b795,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-00a6952fc5cbe87f,MOL-7ea4c00231f6801e,2013_CHUGAI,AC-cf95401a5715faa6,BLOCK-5c361cba45039733,7,BLOCK-5c361cba45039733
SSCP-00acade7e1578155,MOL-5fdc14362f4666f6,2022_Bhardwaj,AC-6ec6edf7124007f2,BLOCK-513383ed86a73488,5,BLOCK-513383ed86a73488
SSCP-00ad7d795216f1d4,MOL-3d6c936cf542eb5f,2015_Bockus_2,AC-75c6ac7476f86a1a,BLOCK-ad504a636f9fcddf,11,BLOCK-ad504a636f9fcddf
