outer_fold,inner_basket,n_fit_ids,fit_ids_sha256,n_inner_validation_ids,inner_validation_ids_sha256,n_outer_test_ids,outer_test_ids_sha256
1,1,2869,c5b7cdf101b6b7993426bc1a6a8cc069f290b2ee674dfcfa2665c29a23ce1306,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,16,cd3c3a91eecf235a435e3913655ab3bff93cbc9c646c140fec3af050e347182d
1,2,5361,71d5b8ba46626b3a225fd3d97d8b1652d6971fca33548c07a4a88e96f1bc9212,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,16,cd3c3a91eecf235a435e3913655ab3bff93cbc9c646c140fec3af050e347182d
1,3,6037,7859b23d4b9954c8d5eec6ac74f7474ec5655b38db8d4ad7e9467b7cdde23d28,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,16,cd3c3a91eecf235a435e3913655ab3bff93cbc9c646c140fec3af050e347182d
1,4,6370,c977b012c0cb2c28ad546378766fb42dc1106c1331c07e3dac230b00905c61e3,509,c1ad4517d35796c9092acbe0afa98a0c796f78684c75a033e1ba4127d64625c5,16,cd3c3a91eecf235a435e3913655ab3bff93cbc9c646c140fec3af050e347182d
2,1,2869,a9e8ef0b8e51d2e0aeb83bf1cdff2696bfe61eeb71c0d83c96c0d697a257da97,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,16,de37410c8841f0ad67bff272eddaf8ad30302e8db572bce067f5fdd424644fde
2,2,5361,bfbb9d57cce6617e1ef157965da2466c0dfbf6cc8417ef9c6eef8fb9594a3b06,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0,16,de37410c8841f0ad67bff272eddaf8ad30302e8db572bce067f5fdd424644fde
2,3,6037,f7062c5ae5c46ae6f3f9b50473f179c9f2398842020d86b541d8b72502cbb89e,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,16,de37410c8841f0ad67bff272eddaf8ad30302e8db572bce067f5fdd424644fde
2,4,6370,c977b012c0cb2c28ad546378766fb42dc1106c1331c07e3dac230b00905c61e3,509,a7a7276f95bccc230ee5737fe35ed3fa2696f7f9f6b103e92610899ef3c68c7c,16,de37410c8841f0ad67bff272eddaf8ad30302e8db572bce067f5fdd424644fde
3,1,1367,b890ee4fa06d994c5add4846685c758f03d06d7786803cc3f45534dce998112a,4010,be34c4c4bad19dd2138dae77196b1d30f0dfc0e5c048b58cbe2f637e52ff97a1,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0
3,2,4535,86fe2660911eb6fa164120044484a7a86683361c37f75fb30a41d909be54be10,842,6d3f7e47de457e77057f7197872b9597c1e3b437f7234a8e1b2a88585fbde4dc,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0
3,3,5114,c355194d42c849ed14b3562616cd94b788b9147878f13fe5d94c33f8c30946e8,263,6db06673c91c6fde7d56e5c47192c2d3086e8d22e303637ee35ecba3dd5d6a8f,1518,9b043347d9eb66b18d8ab57097b220b76009e78bf1a82a55409a22066ba9e1f0
